X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.122556956727,33.793332947316,2275,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Los Altos Neighborhood Library,5614 Britton Dr,,Long Beach,CA,,Service/Intake (562) 570-1045,www.lbpl.org,,,2549,This is a public library for the city of Long Beach.,90815,http://egis3.lacounty.gov/lms/?p=2549,publish,33.79333298,-118.1225569,,2013/06/01 11:50:56+00,,6524431.48579322,1747192.03312381
-118.129510056494,33.8312609669377,2287,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Ruth Bach Neighborhood Library,4055 Bellflower Blvd.,,Long Beach,CA,,Service/Intake (562) 570-1038,www.lbpl.org,,,2565,This is a public library for the city of Long Beach.,90808,http://egis3.lacounty.gov/lms/?p=2565,publish,33.831261,-118.12951,,2013/06/01 11:50:56+00,,6522336.5749568,1760997.69416073
-118.184596055961,33.8239939676356,2383,211,,Municipal Services,Public Internet Access,,www.lbpl.org,Long Beach Public Library - Dana Neighborhood Library,3680 Atlantic Ave.,,Long Beach,CA,,Service/Intake (562) 570-1042,www.lbpl.org,,,2654,This is a public library for the city of Long Beach.,90807,http://egis3.lacounty.gov/lms/?p=2654,publish,33.823994,-118.184596,,2013/06/01 11:50:56+00,,6505601.44799405,1758379.18693057
-118.775331455529,34.1432049964851,12485,Current Services Locator,,Municipal Services,Public Internet Access,,LA County,LA County Library - Agoura Hills Library,29901 Ladyface Ct,,Agoura Hills,CA,"<br />
Monday: 10 am - 8 pm<br />
Tuesday: 10 am - 8 pm<br />
Wednesday: 10 am - 8 pm<br />
Thursday: 9 am - 5 pm <br />
Friday: 9 am - 5 pm<br />
Saturday: 9 am - 5 pm<br />
Sunday: Closed <br />",818.889.2278,https://lacountylibrary.org/agoura-hills-library/,,,13303,"Founded in 1912, LA County Library is one of the largest and most innovative library systems in the US. It offers free public resources including books, music, multimedia materials, computer and internet access, and educational and recreational services to 3.4 million residents across 3,000 square miles through its 87 libraries and mobile fleet of 18 vehicles, including 3 bookmobiles, 10 MākMō maker mobiles, and 5 Reading Machines. LA County Library is dedicated to reducing barriers and increasing access to and equity of public services for all. To learn more, visit <a href=""http://lacountylibrary.org/"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""NotApplicable"">LACountyLibrary.org</a>.",91301,http://egis3.lacounty.gov/lms/?p=13303,publish,34.14320503,-118.7753314,,2019/01/10 11:30:55+00,,6327070.69088306,1875400.2002634
-118.602621015836,34.2035903467692,56607,211,,Municipal Services,Public Internet Access,,CIty of Los Angeles,Canoga Park Senior Center,7326 Jordan Ave.,,Canoga Park,CA,"SITE HOURS: Monday through Friday, 8:30am to 4:30pm",Service/Intake (818) 340-2633,www.laparks.org/dos/senior/senior.htm,,,58496,"The center provides a variety of services for older adults age 50 and older who live in the Canoga Park area.  Services are targeted, but not restricted, to Canoga Park area residents.",91303,http://egis3.lacounty.gov/lms/?p=58496,publish,34.20359038,-118.60262096,,2016/04/26 14:03:34+00,Not Active,6379460.41418739,1897016.93393272
-118.306027356637,33.9456156170891,58133,211,,Municipal Services,Public Internet Access,,City of Los Angeles,Watts Senior Center,1657 E. Century Blvd.,,Los Angeles,CA,"Monday through Friday, 9:30am to 5:30pm; alternating Saturdays, 11:00am to 4:00pm",Service/Intake (323) 564-9440,www.laparks.org/dos/senior/senior.htm,,,59561,The department provides recreational programs and services for older adults for seniors throughout Los Angeles County.,90002,http://egis3.lacounty.gov/lms/?p=59561,publish,33.94561565,-118.3060273,,2014/06/09 16:45:29+00,,6468852.94767231,1802730.02933106
-118.288368455738,33.9762597073379,58142,211,,Municipal Services,Public Internet Access,,City of Los Angeles,Mt. Carmel Senior Center,830 W. 70Th St.,,Los Angeles,CA,"Monday, Tuesday, Wednesday, Friday, 9:00am to 5:30pm; Thursday, 6:30am to 8:00pm",Service/Intake (323) 789-2821,www.laparks.org/dos/senior/senior.htm,,,59569,The department provides recreational programs and services for older adults for seniors throughout Los Angeles County.,90044,http://egis3.lacounty.gov/lms/?p=59569,publish,33.97625974,-118.2883684,,2013/05/28 17:46:14+00,,6474240.82994114,1813866.19144189
-118.129238056485,33.9389839671024,58408,211,,Municipal Services,Public Internet Access,,www.downeylibrary.org,Downey City Library,11121 Brookshire Ave.,,Downey,CA,"Monday through Thursday, 10:00 am to 8:00 pm; Friday and Saturday, 10:00 am to 5:00 pm. ","FAX (562) 923-3763,  Service/Intake (562) 904-7360",www.downeylibrary.org,,,59877,The facility provides library services for the city of Downey.,90241,http://egis3.lacounty.gov/lms/?p=59877,publish,33.938984,-118.129238,,2016/04/28 09:03:20+00,,6522469.58715796,1800200.53635857
-118.364665055418,33.8415349674653,59541,211,,Municipal Services,Public Internet Access,,www.torranceca.gov/Library/,Torrance Public Library - Henderson Branch,4805 Emerald St.,,Torrance,CA,"SITE HOURS: Monday through Thursday, 11:00am to 8:00pm; and Saturday, 10:00am to 5:00pm ",Service/Intake (310) 371-2075,www.torranceca.gov/Library/,,,60796,These are public libraries for the city of Torrance.,90503,http://egis3.lacounty.gov/lms/?p=60796,publish,33.841535,-118.364665,,2013/06/01 11:50:56+00,,6450930.92577364,1764912.2004393
-118.32007705569,33.8155409668529,59543,211,,Municipal Services,Public Internet Access,,www.torranceca.gov/Library/,Torrance Public Library - Southeast Branch,23115 S. Arlington Ave.,,Torrance,CA,"SITE HOURS: Monday through Thursday, 11:00am to 8:00pm; and Saturday, 10:00am to 5:00pm. ",Service/Intake (310) 530-5044,www.torranceca.gov/Library/,,,60797,These are public libraries for the city of Torrance.,90501,http://egis3.lacounty.gov/lms/?p=60797,publish,33.815541,-118.320077,,2013/06/01 11:50:56+00,,6464440.9860238,1755406.23388697
-118.353497055335,33.8045269675832,59545,211,,Municipal Services,Public Internet Access,,www.torranceca.gov/Library/,Torrance Public Library - Walteria Branch,3815 W. 242nd St.,,Torrance,CA,"SITE HOURS: Monday through Thursday, 11:00am to 8:00pm; and Saturday, 10:00am to 5:00pm. ",Service/Intake (310) 375-8418,www.torranceca.gov/Library/,,,60798,These are public libraries for the city of Torrance.,90505,http://egis3.lacounty.gov/lms/?p=60798,publish,33.804527,-118.353497,,2013/06/01 11:50:56+00,,6454274.9827338,1751431.98199297
-118.378944055554,33.8155229674318,59547,211,,Municipal Services,Public Internet Access,,www.torranceca.gov/Library/,Torrance Public Library - El Retiro Branch,126 Vista Del Parque,,Redondo Beach,CA,"Monday through Thursday, 11:00am to 8:00pm; Saturday, 10:00am to 5:00pm. ",Service/Intake (310) 375-0922,www.torranceca.gov/Library/,,,60799,These are public libraries for the city of Torrance.,90277,http://egis3.lacounty.gov/lms/?p=60799,publish,33.815523,-118.378944,,2013/06/01 11:50:56+00,,6446559.09232572,1755461.86041614
-118.335601056076,33.8725449669175,59549,211,,Municipal Services,Public Internet Access,,www.torranceca.gov/Library/,Torrance Public Library - North Torrance Branch,3604 Artesia Blvd.,,Torrance,CA,"SITE HOURS: Monday through Thursday, 11:00am to 8:00pm; and Saturday, 10:00am to 5:00pm. ",Service/Intake (310) 323-7200,www.torranceca.gov/Library/,,,60800,These are public libraries for the city of Torrance.,90504,http://egis3.lacounty.gov/lms/?p=60800,publish,33.872545,-118.335601,,2013/06/01 11:50:56+00,,6459794.56093347,1776166.70712973
-118.343297055652,33.8376439670473,59551,211,,Municipal Services,Public Internet Access,,www.torranceca.gov/Library/,Torrance Public Library - Katy Geissert Civic Center Library,3301 Torrance Blvd.,,Torrance,CA,"<br />
Monday-Thursday: 10:00 am to 9:00 pm <br />
Friday: 10:00 am to 6:00 pm <br />
Saturday: 10:00 am to 5:30 pm <br />
Sunday: 1:00 pm to 5:00 pm September through June <br />",Service/Intake (310) 618-5959,www.torranceca.gov/Library/,,,60801,These are public libraries for the city of Torrance.,90503,http://egis3.lacounty.gov/lms/?p=60801,publish,33.837644,-118.343297,,2016/05/02 09:25:05+00,,6457414.97710997,1763473.32273965
-118.416106055586,33.9237459674043,59617,211,,Municipal Services,Public Internet Access,,library.elsegundo.org/,El Segundo Public Library,111 W. Mariposa Ave.,,El Segundo,CA,,Service/Intake (310) 524-2722,library.elsegundo.org/,,,60835,This agency offers library services for the city of El Segundo.,90245,http://egis3.lacounty.gov/lms/?p=60835,publish,33.923746,-118.416106,,2013/06/01 11:50:56+00,,6435433.54797581,1794891.17132114
-118.127485976798,34.0931730572048,59970,211,,Municipal Services,Public Internet Access,,www.alhambralibrary.org,Alhambra Civic Center Library,101 S. First St.,,Alhambra,CA,"Monday: 11 a.m.-9 p.m.
Tuesday: 10 a.m.-9 p.m.
Wednesday:10 a.m.-9 p.m.
Thursday: 10 a.m.-5 p.m.
Friday: 10 a.m.-5 p.m.
Saturday	: 10 a.m.-5 p.m.
Sunday: 1-5 p.m.","(626) 570-5008; FAX (626) 457-1104",www.alhambralibrary.org,,,61138,This is a public library for the city of Alhambra.,91801,http://egis3.lacounty.gov/lms/?p=61138,publish,34.09317309,-118.12748592,,2014/12/24 09:28:18+00,,6523072.19618897,1856312.34637882
-118.032324057251,34.1286189670882,59973,211,,Municipal Services,Public Internet Access,,library.ci.arcadia.ca.us,City Of Arcadia Public Library,20 W. Duarte Rd.,,Arcadia,CA,"SITE HOURS: Monday through Thursday, 10:00am to 9:00pm; Friday and Saturday, 10:00am to 6:00pm. ","Recorded information Service/Intake (626) 821-5567, Children's Room Service/Intake (626) 821-5566, Reference Service/Intake (626) 821-5569, TDD Reference TDD (626) 821-1996",library.ci.arcadia.ca.us,,,61139,This is a public library for the city of Arcadia.,91006,http://egis3.lacounty.gov/lms/?p=61139,publish,34.128619,-118.032324,,2016/04/26 16:42:05+00,,6551887.9331768,1869188.87016639
-118.400312055943,34.0726599666703,59977,211,,Municipal Services,Public Internet Access,,www.bhpl.org,City Of Beverly Hills Public Library,444 N. Rexford Dr.,,Beverly Hills,CA,"Monday through Wednesday, 10:00am to 8:00pm; Thursday through Saturday, 10:00am to 6:00pm and Sunday, 12:00noon to 5:00pm. ","Literacy Programs - Delores Allmond Service/Intake (310) 288-2207, Circulation Service/Intake and Administration (310) 288-2222, Recorded Information Information Only (310) 288-2200, Reference Service/Intake (310) 288-2244",,,,61140,This is a public library for the city of Beverly Hills.,90210,http://egis3.lacounty.gov/lms/?p=61140,publish,34.07266,-118.400312,,2013/06/01 11:50:56+00,,6440440.87227872,1849064.16304056
-118.064382956613,33.8669296472699,59982,211,,Municipal Services,Public Internet Access,,www.cerritos.us/library,City Of Cerritos Library,18025 Bloomfield Ave,,Cerritos,CA,,"Recorded Information Service/Intake (562) 916-1350, Library Staff Service/Intake (562) 916-1340",www.cerritos.us/library,,,61143,This is a public library for the city of Cerritos.,90703,http://egis3.lacounty.gov/lms/?p=61143,publish,33.86692968,-118.0643829,,2013/06/01 11:50:56+00,,6542124.77488163,1773959.34966782
-117.934013057108,34.1041949673626,59997,211,,Municipal Services,Public Internet Access,,www.ci.irwindale.ca.us/departments/library,Irwindale Public Library,5050 N. Irwindale Ave.,,Irwindale,CA,,Service/Intake (626) 430-2229,www.ci.irwindale.ca.us/departments/library,,,61158,This is a public library for the city of Irwindale.,91706,http://egis3.lacounty.gov/lms/?p=61158,publish,34.104195,-117.934013,,2013/06/01 11:50:56+00,,6581646.17845023,1860305.50899614
-118.002264446739,34.1486893273016,59999,211,,Municipal Services,Public Internet Access,,www.monroviapubliclibrary.org,Monrovia Public Library,321 S Myrtle Ave,,Monrovia,CA,"Monday through Wednesday 10:00 am to 8:00 pm; Thursday through Saturday 12:00 pm to 5:00 pm","FAX (626) 256-8255,  Service/Intake (626) 256-8274",www.monroviapubliclibrary.org,,,61159,This is a public library for the city of Monrovia.,91016,http://egis3.lacounty.gov/lms/?p=61159,publish,34.14868936,-118.00226439,,2016/04/28 16:42:57+00,,6560985.20632081,1876491.27780564
-117.75122205757,34.0537599674659,60003,211,,Municipal Services,Public Internet Access,,www.youseemore.com/pomona,Pomona Public Library,625 S. Garey Ave.,,Pomona,CA,"Monday, Tuesday, Wednesday, 12:00pm to 7:00pm; and Saturday, 12:00pm to 5:00pm. ","Adult Literacy Service/Intake (909) 620-2047,  FAX (909) 620-3713,  Service/Intake (909) 620-2043, DIAL-A-STORY Service/Intake (909) 620-2046",www.youseemore.com/pomona,,,61161,This is a public library for the city of Pomona.,91766,http://egis3.lacounty.gov/lms/?p=61161,publish,34.05376,-117.751222,,2013/06/01 11:50:56+00,,6637026.76322688,1842037.9520274
-118.376869055724,33.8727059670244,60006,211,,Municipal Services,Public Internet Access,,http://www.redondo.org/depts/library/default.asp,North Branch Library,2000 Artesia Blvd.,,Redondo Beach,CA,"SITE HOURS: Monday through Friday, 12:00 noon to 8:00pm, Friday, 12:00 noon to 6:00pm and Saturday, 9:00am to 5:00pm. ",Service/Intake (310) 318-0677,http://www.redondo.org/depts/library/default.asp,,,61162,This is a public library for the city of Redondo Beach.,90278,http://egis3.lacounty.gov/lms/?p=61162,publish,33.872706,-118.376869,,2013/06/01 11:50:56+00,,6447267.43211639,1776269.69544081
-118.387441055391,33.8450349674081,60008,211,,Municipal Services,Public Internet Access,,http://www.redondo.org/depts/library/default.asp,Redondo Beach Public Library,303 N. Pacific Coast Hwy.,,Redondo Beach,CA,"SITE HOURS: Monday through Thursday, 10:00am to 8:00pm; Friday, 10:00am to 6:00pm; and Saturday, 9:00am to 5:00pm. ",Service/Intake (310) 318-0675,http://www.redondo.org/depts/library/default.asp,,,61163,This is a public library for the city of Redondo Beach.,90277,http://egis3.lacounty.gov/lms/?p=61163,publish,33.845035,-118.387441,,2013/06/01 11:50:56+00,,6444019.38152589,1766211.80577973
-118.112828056566,34.1188889669957,60010,211,,Municipal Services,Public Internet Access,,crowellpubliclibrary.org,Crowell Public Library - City Of San Marino,1890 Huntington Dr.,,San Marino,CA,"Monday through Thursday, 10:00am to 9:00pm; Saturday, 10:00am to 5:00pm; Sunday, 1:00pm to 5:00pm. ",Service/Intake (626) 300-0777,crowellpubliclibrary.org,,,61164,This is a public library for the city of San Marino.,91108,http://egis3.lacounty.gov/lms/?p=61164,publish,34.118889,-118.112828,,2013/06/01 11:50:56+00,,6527520.58722655,1865665.53534956
-118.084411056247,33.9465169674507,60012,211,,Municipal Services,Public Internet Access,,www.sfslibrary.org,Santa Fe Springs City Library,11700 Telegraph Rd.,,Santa Fe Springs,CA,"Monday through Wednesday, 11:00am to 8:00pm; Thursday, 10:00am to 6:00pm; Friday, 1:00pm to 6:00pm; and Saturday, 12:00pm to 5:00pm.  ",Service/Intake (562) 868-7738,www.sfslibrary.org,,,61165,This is a public library for the city of Santa Fe Springs.,90670,http://egis3.lacounty.gov/lms/?p=61165,publish,33.946517,-118.084411,,2013/06/01 11:50:56+00,,6536068.9057598,1802927.51056339
-118.061826056881,34.1617059671073,60014,211,,Municipal Services,Public Internet Access,,www.sierramadre.lib.ca.us,City Of Sierra Madre Public Library,440 W. Sierra Madre Blvd.,,Sierra Madre,CA,,"Service/Intake (626) 355-7186,  FAX (626) 355-6218",www.sierramadre.lib.ca.us,,,61166,This is a public library for the city of Sierra Madre.,91024,http://egis3.lacounty.gov/lms/?p=61166,publish,34.161706,-118.061826,,2013/06/01 11:50:56+00,,6542966.98349905,1881234.01372698
-117.993232056992,33.9400879677219,60018,211,,Municipal Services,Public Internet Access,,www.whittierlibrary.org,Whittier Public Library - Whittwood Branch,10537 Santa Gertrudes Ave.,,Whittier,CA,"Monday and Tuesday, 12:00pm to 9:00pm; Wednesday, Thursday and Friday, 10:00am to 6:00pm; Saturday, 10:00am to 5:00pm. ",Whittwood Branch Service/Intake (562) 567-9950,www.whittierlibrary.org,,,61168,This is a public library for the city of Whittier.,90603,http://egis3.lacounty.gov/lms/?p=61168,publish,33.940088,-117.993232,,2013/06/01 11:50:56+00,,6563723.18837763,1800577.17700948
-118.03479505636,33.9751509672723,60020,211,,Municipal Services,Public Internet Access,,www.whittierlibrary.org,Whittier Public Library,7344 S. Washington Ave.,,Whittier,CA,,Main Branch Service/Intake (562) 567-9900,www.whittierlibrary.org,,,61169,This is a public library for the city of Whittier.,90602,http://egis3.lacounty.gov/lms/?p=61169,publish,33.975151,-118.034795,,2013/06/01 11:50:56+00,,6551120.79068223,1813339.11605248
-118.158884557174,34.1913088771697,60024,211,,Municipal Services,Public Internet Access,,www.altadenalibrary.org,Bob Lucas Memorial Library And Literacy Center,2659 Lincoln Ave,,Altadena,CA,"Monday, Tuesday and Friday, 10:00am to 6:00pm; Wednesday and Thursday, 10:00am to 8:00pm. ",Service/Intake (626) 798-7185,www.altadenalibrary.org,,,61170,This is a public library for the district of Altadena.,91001,http://egis3.lacounty.gov/lms/?p=61170,publish,34.19130891,-118.1588845,,2013/06/01 11:50:56+00,,6513622.29678172,1892039.27000356
-118.137097056949,34.189446966896,60027,211,,Municipal Services,Public Internet Access,,www.altadenalibrary.org,Altadena Library And Library  District Office,600 E. Mariposa St.,,Altadena,CA,"Monday and Tuesday, 10:00am to 9:00pm; Wednesday through Saturday, 10:00am to 6:00pm. ","Service/Intake (626) 798-0834,  FAX (626) 798-5351",www.altadenalibrary.org,,,61171,This is a public library for the district of Altadena.,91001,http://egis3.lacounty.gov/lms/?p=61171,publish,34.189447,-118.137097,,2013/06/01 11:50:56+00,,6520210.09430164,1891351.98758547
-118.328395255738,33.7556254469656,60029,211,,Municipal Services,Public Internet Access,,www.pvld.org,Palos Verdes Library District - Miraleste Library,29089 Palos Verdes Dr E,,Rancho Palos Verdes,CA,"Monday through Friday, 11:00am to 6:00pm; and Saturday, 10:00am to 5:00pm. ",Service/Intake (310) 377-9584 Ext.452,www.pvld.org,,,61172,"This is a public library for the Palos Verdes Peninsula, district of Los Angeles County.",90274,http://egis3.lacounty.gov/lms/?p=61172,publish,33.75562548,-118.3283952,,2013/06/01 11:50:56+00,,6461842.9498813,1733609.56291348
-118.389563055452,33.7988269671025,60031,211,,Municipal Services,Public Internet Access,,www.pvld.org,Palos Verdes Library District - Malaga Cove Library,2400 Via Campesina,,Palos Verdes Estates,CA,"Monday through Saturday, 10:00am to 5:00pm. ",Service/Intake (310) 377-9584 Ext.551,www.pvld.org,,,61173,"This is a public library for the Palos Verdes Peninsula, district of Los Angeles County.",90274,http://egis3.lacounty.gov/lms/?p=61173,publish,33.798827,-118.389563,,2013/06/01 11:50:56+00,,6443309.84259063,1749398.11106072
-118.370038055246,33.7709099676437,60033,211,,Municipal Services,Public Internet Access,,www.pvld.org,City Of Palos Verdes Library District - Peninsula Center Library,701 Silver Spur Rd.,,Rolling Hills Estates,CA,"Monday through Thursday, 10:00am to 8:00pm; Friday, 10:00am to 6:00pm; Saturday, 10:00am to 5:00pm; and Sunday, 1:00pm to 5:00pm. ",Service/Intake (310) 377-9584,www.pvld.org,,,61174,"This is a public library for the Palos Verdes Peninsula, district of Los Angeles County.",90274,http://egis3.lacounty.gov/lms/?p=61174,publish,33.77091,-118.370038,,2013/06/01 11:50:56+00,,6449204.67299256,1739215.98575573
-117.90508605672,34.1343189666576,60706,211,,Municipal Services,Public Internet Access,,www.ci.azusa.ca.us/library,Azusa City Library,729 N. Dalton Ave.,,Azusa,CA,"Mon - Wed 10 am - 9 pm
Thur 10 am - 6 pm
Fri - Sat 10 am - 5 pm
","FAX (626) 334-4868,  Service/Intake (626) 812-5232",www.ci.azusa.ca.us/library,,,61388,This is the public library for the city of Azusa and it is also a cooling center for people who do not have air conditioning.,91702,http://egis3.lacounty.gov/lms/?p=61388,publish,34.134319,-117.905086,,2016/04/26 16:47:03+00,,6590392.7223088,1871275.19473389
-118.246428056308,33.9438469671904,60709,211,,Municipal Services,Public Internet Access,,www.lapl.org,Los Angeles Public Library - Alma Reaves Woods - Watts Branch,10205 Compton Ave.,,Los Angeles,CA,"Monday and Wednesday and Saturday, 10:00am to 6:00pm; Tuesday and Thursday, 12:00noon to 8:00pm; Friday, 1:30pm to 5:30pm. ","FAX (323) 789-2859,  Service/Intake (323) 789-2850",www.lapl.org,,,61389,This is the public library system of the City of Los Angeles.,90002,http://egis3.lacounty.gov/lms/?p=61389,publish,33.943847,-118.246428,,2013/06/01 11:50:56+00,,6486927.66119473,1802036.70657073
-118.282863056029,33.9486749670038,60711,211,,Municipal Services,Public Internet Access,,www.lapl.org,Los Angeles Public Library - Mark Twain Branch,9621 S. Figueroa St.,,Los Angeles,CA,"Monday and Wednesday and Saturday, 10:00am to 6:00pm; Tuesday and Thursday, 12:00noon to 8:00pm; Friday, 1:30pm to 5:30pm. ","FAX (323) 755-3185,  Service/Intake (323) 755-4088",www.lapl.org,,,61390,This is the public library system of the City of Los Angeles.,90003,http://egis3.lacounty.gov/lms/?p=61390,publish,33.948675,-118.282863,,2013/06/01 11:50:56+00,,6475881.74102938,1803822.80929773
-118.292486055971,33.7354899675547,60713,211,,Municipal Services,Public Internet Access,,www.lapl.org,Los Angeles Public Library - San Pedro Regional Branch,931 S. Gaffey St.,,San Pedro,CA,"Monday and Wednesday and Saturday, 10:00am to 6:00pm; Tuesday and Thursday, 12:00noon to 8:00pm; Friday, 1:30pm to 5:30pm. ","FAX (310) 548-7453,  Service/Intake (310) 548-7779",www.lapl.org,,,61391,This is the public library system of the City of Los Angeles.,90731,http://egis3.lacounty.gov/lms/?p=61391,publish,33.73549,-118.292486,,2013/06/01 11:50:56+00,,6472737.47139931,1726247.9765868
-118.385804056352,34.0483539669031,60715,211,,Municipal Services,Public Internet Access,,www.lapl.org,Los Angeles Public Library - Robertson Branch,1719 S. Robertson Blvd.,,Los Angeles,CA,"Monday and Wednesday and Saturday, 10:00am to 6:00pm; Tuesday and Thursday, 12:00noon to 8:00pm; Friday, 1:30pm to 5:30pm. ","FAX (310) 840-2156,  Service/Intake (310) 840-2147",www.lapl.org,,,61392,This is the public library system of the City of Los Angeles.,90035,http://egis3.lacounty.gov/lms/?p=61392,publish,34.048354,-118.385804,,2013/06/01 11:50:56+00,,6444800.46559364,1840201.62531948
